"Yıllara göre il nüfusları, 2000-2021",,,,,,,,,,,,,,,,,,,,,,
"Population of provinces by years, 2000-2021",,,,,,,,,,,,,,,,,,,,,,
"İl
Provinces","Nüfus tahmini
Population estimate(1) (2)",,,,,,,"Adrese Dayalı Nüfus Kayıt Sistemi 
Address Based Population Registration System(3)",,,,,,,,"Adrese Dayalı Nüfus Kayıt Sistemi 
Address Based Population Registration System(3)",,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Toplam-Total,64 729 501,65 603 160,66 401 851,67 187 251,68 010 215,68 860 539,69 729 967,70 586 256,71 517 100,72 561 312,73 722 988,74 724 269,75 627 384,76 667 864,77 695 904,78 741 053,79 814 871,80 810 525,82 003 882,83 154 997,83 614 362,84 680 273
Adana,1 879 695,1 899 324,1 916 637,1 933 428,1 951 142,1 969 512,1 988 277,2 006 650,2 026 319,2 062 226,2 085 225,2 108 805,2 125 635,2 149 260,2 165 595,2 183 167,2 201 670,2 216 475,2 220 125,2 237 940,2 258 718,2 263 373
Adıyaman, 568 432, 571 180, 573 149, 574 886, 576 808, 578 852, 580 926, 582 762, 585 067, 588 475, 590 935, 593 931, 595 261, 597 184, 597 835, 602 774, 610 484, 615 076, 624 513, 626 465, 632 459, 632 148
Afyonkarahisar, 696 292, 698 029, 698 773, 699 193, 699 794, 700 502, 701 204, 701 572, 697 365, 701 326, 697 559, 698 626, 703 948, 707 123, 706 371, 709 015, 714 523, 715 693, 725 568, 729 483, 736 912, 744 179
Ağrı, 519 190, 521 514, 523 123, 524 514, 526 070, 527 732, 529 417, 530 879, 532 180, 537 665, 542 022, 555 479, 552 404, 551 177, 549 435, 547 210, 542 255, 536 285, 539 657, 536 199, 535 435, 524 644
Amasya, 333 927, 333 768, 333 110, 332 271, 331 491, 330 739, 329 956, 328 674, 323 675, 324 268, 334 786, 323 079, 322 283, 321 977, 321 913, 322 167, 326 351, 329 888, 337 508, 337 800, 335 494, 335 331
Ankara,3 889 199,3 971 642,4 050 309,4 128 889,4 210 596,4 294 678,4 380 736,4 466 756,4 548 939,4 650 802,4 771 716,4 890 893,4 965 542,5 045 083,5 150 072,5 270 575,5 346 518,5 445 026,5 503 985,5 639 076,5 663 322,5 747 325
Antalya,1 430 539,1 480 282,1 529 110,1 578 367,1 629 338,1 681 656,1 735 239,1 789 295,1 859 275,1 919 729,1 978 333,2 043 482,2 092 537,2 158 265,2 222 562,2 288 456,2 328 555,2 364 396,2 426 356,2 511 700,2 548 308,2 619 832
Artvin, 167 909, 168 184, 168 215, 168 164, 168 153, 168 164, 168 170, 168 092, 166 584, 165 580, 164 759, 166 394, 167 082, 169 334, 169 674, 168 370, 168 068, 166 143, 174 010, 170 875, 169 501, 169 543
Aydın, 870 460, 881 911, 892 345, 902 594, 913 340, 924 446, 935 800, 946 971, 965 500, 979 155, 989 862, 999 163,1 006 541,1 020 957,1 041 979,1 053 506,1 068 260,1 080 839,1 097 746,1 110 972,1 119 084,1 134 031
Balıkesir,1 069 260,1 077 362,1 084 072,1 090 411,1 097 187,1 104 261,1 111 475,1 118 313,1 130 276,1 140 085,1 152 323,1 154 314,1 160 731,1 162 761,1 189 057,1 186 688,1 196 176,1 204 824,1 226 575,1 228 620,1 240 285,1 250 610
Bilecik, 197 625, 198 736, 199 580, 200 346, 201 182, 202 063, 202 960, 203 777, 193 169, 202 061, 225 381, 203 849, 204 116, 208 888, 209 925, 212 361, 218 297, 221 693, 223 448, 219 427, 218 717, 228 334
